TEAM,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,GA/G,W,L,OTL,SA,GA,PTS%
Detroit Red Wings,82,3.07,431,683,68,17.1,12,2771,9.1,982,84.6,2.33,50,19,13,2020,191,0.768292683
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.99,417,662,61,18.1,5,2730,9,1181,82.4,3.04,35,31,16,2402,249,0.62195122
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,2.96,422,665,69,18.4,14,2418,10.1,897,78.4,3.16,44,33,5,2234,259,0.597560976
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,2.94,429,670,67,15,12,2559,9.4,1021,84.6,3.02,40,34,8,2336,248,0.585365854
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.93,422,662,63,18.1,7,2459,9.8,1062,81.8,2.87,40,30,12,2672,235,0.634146341
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.91,399,638,86,22.8,17,2426,9.9,1133,83.5,3.06,42,34,6,2685,251,0.585365854
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,2.91,397,636,67,16.5,9,2438,9.8,1097,79.8,2.94,43,28,11,2582,241,0.658536585
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,2.85,380,614,67,16.4,12,2295,10.2,1233,80.2,3.35,28,40,14,2734,275,0.512195122
,,,,,,,,,,,,,,,,,,
New York Rangers,82,2.84,410,643,75,18.5,11,2586,9,1109,83.8,2.57,42,30,10,2329,211,0.634146341
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.74,386,611,72,18.9,9,2431,9.3,862,86,2.24,48,26,8,2361,184,0.682926829
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.72,406,629,81,18.3,6,2542,8.8,1239,77.9,3.38,27,41,14,2440,277,0.5
,,,,,,,,,,,,,,,,,,
Dallas Stars,82,2.65,387,604,79,18.5,3,2296,9.5,1133,84.4,2.35,50,25,7,2083,193,0.695121951
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,2.65,392,609,70,17.2,5,2405,9,1206,86.9,2.4,49,26,7,2398,197,0.682926829
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,2.6,371,584,53,14.1,15,2361,9,1301,84.5,3.62,22,48,12,2673,297,0.414634146
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.57,373,584,66,16.6,5,2320,9.1,1445,78.5,3.44,31,46,5,2470,282,0.43902439
,,,,,,,,,,,,,,,,,,
Boston Bruins,82,2.56,361,571,71,17.2,8,2370,8.9,1256,81.7,3.48,35,41,6,2748,285,0.5
,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,2.54,369,577,46,12.1,7,2202,9.4,1223,80,3.02,34,35,13,2369,248,0.573170732
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.51,385,591,65,17.7,4,2354,8.8,830,85.2,2.35,49,24,9,2332,193,0.707317073
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,2.39,337,533,65,14.8,6,2273,8.6,1357,81.2,2.98,33,42,7,2345,244,0.487804878
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,2.38,324,519,43,11.8,12,2201,8.9,1332,82.6,3.06,31,42,9,2408,251,0.487804878
,,,,,,,,,,,,,,,,,,
Edmonton Oilers,82,2.34,336,528,53,14.2,6,2193,8.8,1285,84.6,2.99,32,43,7,2439,245,0.475609756
,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,3.15,441,699,60,18.3,18,2471,10.4,1175,81.2,2.95,43,31,8,2456,242,0.62195122
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,3.13,441,698,90,24.1,8,2383,10.8,1090,82.5,2.63,47,25,10,2589,216,0.695121951
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,3.07,443,695,81,20.8,5,2820,8.9,937,84,2.18,54,21,7,1930,179,0.743902439
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,3.06,454,705,66,18,9,2478,10.1,1004,83.2,2.84,39,31,12,2326,233,0.62195122
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,3.05,446,696,79,18.8,4,2669,9.4,1183,78.9,3,43,33,6,2368,246,0.597560976
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,2.99,405,650,84,21.8,13,2359,10.4,1471,83.2,2.77,42,29,11,2609,227,0.646341463
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,2.93,427,667,77,20.4,6,2269,10.6,1179,81,2.59,47,27,8,2523,212,0.670731707
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,2.9,401,639,65,18.8,5,2538,9.4,975,80.5,2.77,43,31,8,2259,227,0.62195122
,,,,,,,,,,,,,,,,,,
Dallas Stars,82,2.89,410,647,64,18,13,2187,10.8,1176,85.6,2.49,45,30,7,2137,204,0.634146341
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,2.85,395,629,58,15.9,17,2298,10.2,1383,82.1,2.82,40,34,8,2346,231,0.585365854
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,2.78,399,627,61,17.8,4,2542,9,1087,78.2,3.12,36,35,11,2403,256,0.573170732
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,2.77,407,634,53,14.8,7,2425,9.4,1027,85.4,2.73,41,32,9,2440,224,0.609756098
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,2.76,379,605,59,16.8,9,2316,9.8,1342,81.4,2.73,42,30,10,2335,224,0.634146341
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.76,381,607,64,17.5,11,2349,9.6,954,78,3.21,32,43,7,2625,263,0.475609756
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,2.73,406,630,49,14.6,2,2349,9.5,995,81.4,2.63,44,31,7,2237,216,0.62195122
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,2.7,380,601,57,19.3,7,2354,9.4,1038,82.1,3.24,31,42,9,2312,266,0.487804878
,,,,,,,,,,,,,,,,,,
Edmonton Oilers,82,2.68,380,600,57,16.6,7,2156,10.2,1175,84.7,3.01,41,35,6,2573,247,0.573170732
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.68,390,610,64,18.9,3,2218,9.9,1098,85.2,2.56,44,28,10,2469,210,0.658536585
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,2.63,376,592,70,18.7,7,2428,8.9,1075,86,2.28,49,23,10,1981,187,0.719512195
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.57,353,564,60,19.2,4,2549,8.3,1026,82.4,2.68,38,35,9,2753,220,0.573170732
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.55,361,570,63,18.5,11,2500,8.4,1193,80.8,2.74,38,37,7,2518,225,0.548780488
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,2.52,351,558,63,17,8,2252,9.2,1474,82.6,2.51,39,33,10,2367,206,0.597560976
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,2.52,336,543,52,16.4,13,2115,9.8,1077,78.8,3.24,34,40,8,2782,266,0.512195122
,,,,,,,,,,,,,,,,,,
Boston Bruins,82,2.51,353,559,56,17.6,9,2339,8.8,1069,78.6,2.62,41,29,12,2498,215,0.646341463
,,,,,,,,,,,,,,,,,,
New York Rangers,82,2.5,370,575,61,16.5,4,2579,7.9,1154,84.5,2.32,42,27,13,2124,190,0.670731707
,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,2.46,358,560,47,14,3,2141,9.4,1153,84.4,2.83,33,36,13,2249,232,0.56097561
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.41,346,544,50,15.6,6,2362,8.4,974,82.8,2.35,46,29,7,2257,193,0.646341463
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,2.4,342,539,60,16.6,8,2241,8.8,1481,83.1,2.24,47,27,8,2300,184,0.670731707
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,2.32,317,507,53,14.8,8,2381,8,1325,83.3,2.56,34,36,12,2249,210,0.56097561
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.3,313,502,48,14.5,10,2435,7.8,1041,81.9,2.93,35,38,9,2488,240,0.536585366
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,3.52,511,800,90,25.5,6,2965,9.7,824,78.3,2.93,51,21,10,2274,240,0.743902439
,,,,,,,,,,,,,,,,,,
Boston Bruins,82,3.29,465,735,74,23.6,8,2482,10.9,1028,82.4,2.32,53,19,10,2525,190,0.768292683
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,3.27,449,717,85,25.2,7,2748,9.8,1041,80.6,2.93,50,24,8,2418,240,0.707317073
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,3.17,461,721,70,19.3,10,2683,9.7,1157,80.6,2.55,46,24,12,2344,209,0.707317073
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,3.17,416,676,71,22.5,16,2441,10.7,1434,83,2.83,44,27,11,2668,232,0.670731707
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,3.15,448,706,62,17.2,7,2381,10.8,1114,82.7,2.84,45,28,9,2484,233,0.658536585
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,3.06,442,693,61,17,6,2643,9.5,1299,83.4,3,46,30,6,2441,246,0.634146341
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,3.06,457,708,87,24.2,12,2720,9.2,1053,83.2,2.43,53,18,11,2228,199,0.780487805
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,3.05,419,669,69,19.3,13,2306,10.8,1256,76,3.4,35,41,6,2683,279,0.5
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,2.98,430,674,62,18.8,6,2603,9.4,1125,74.7,3.49,34,35,13,2481,286,0.573170732
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,2.96,426,669,67,18.8,7,2335,10.4,1351,81.4,2.6,45,27,10,2392,213,0.670731707
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,2.95,416,658,75,21,7,2505,9.7,1121,81.8,2.79,41,32,9,2575,229,0.609756098
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.95,400,642,72,19.3,10,2461,9.8,1229,82.4,2.93,41,30,11,2600,240,0.634146341
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.9,426,664,58,18.9,12,2698,8.8,1058,79.9,2.52,51,27,4,2415,207,0.670731707
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,2.9,426,664,73,23.6,6,2481,9.6,1426,79.7,2.87,42,33,7,2499,235,0.597560976
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,2.88,409,645,70,18.7,8,2675,8.8,802,80.4,2.7,45,30,7,2419,221,0.634146341
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.82,396,627,51,16.6,7,2412,9.6,900,82.6,2.72,41,30,11,2843,223,0.634146341
,,,,,,,,,,,,,,,,,,
Edmonton Oilers,82,2.78,407,635,60,16.9,3,2303,9.9,1247,77.5,2.98,38,35,9,2668,244,0.573170732
,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,2.77,384,611,72,20.5,10,2271,10,1248,83.8,2.77,41,31,10,2341,227,0.62195122
,,,,,,,,,,,,,,,,,,
Dallas Stars,82,2.73,399,623,54,15.4,2,2370,9.5,1144,78.6,3.06,36,35,11,2304,251,0.573170732
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,2.68,372,592,41,12.7,8,2370,9.3,1227,82.1,2.72,41,31,10,2281,223,0.62195122
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.61,370,584,66,20.1,9,2257,9.5,889,87.6,2.4,40,33,9,2518,197,0.597560976
,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,2.6,359,572,66,19.5,8,2405,8.9,1098,81.5,2.82,36,35,11,2337,231,0.573170732
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,2.52,367,574,61,17.8,4,2338,8.9,1306,78,3.28,24,40,18,2701,269,0.512195122
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,2.52,367,574,50,15.7,9,2375,8.7,994,82.5,2.78,40,34,8,2411,228,0.585365854
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.5,352,557,50,14.7,5,2302,8.9,1092,76.8,3.04,36,39,7,2591,249,0.524390244
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.46,336,538,69,19.2,4,2383,8.5,1207,82.8,2.76,34,37,11,2301,226,0.548780488
,,,,,,,,,,,,,,,,,,
New York Rangers,82,2.44,354,554,48,13.9,9,2658,7.5,1199,87.8,2.59,43,30,9,2433,212,0.634146341
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.41,344,542,54,16.9,12,2372,8.3,1216,79.8,3.34,26,47,9,2751,274,0.426829268
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,2.32,329,519,50,15.7,4,2359,8.1,1062,79.9,3.09,32,45,5,2376,253,0.451219512
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,3.82,523,836,79,25.2,4,2693,11.6,940,78.8,2.77,54,15,13,2535,227,0.817073171
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,3.27,466,734,68,20.9,9,2534,10.6,1269,81.6,2.66,49,28,5,2419,218,0.658536585
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,3.2,464,726,52,17.7,13,2798,9.4,924,85,2.48,52,22,8,2058,203,0.731707317
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,3.13,443,700,65,21,8,2602,9.9,1155,85,2.55,51,20,11,2571,209,0.756097561
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,3.04,433,682,56,17.2,7,2688,9.3,1195,84.1,2.87,47,28,7,2350,235,0.658536585
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,2.89,420,657,56,18.1,8,2287,10.4,1027,80.2,2.78,43,30,9,2629,228,0.634146341
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,2.84,387,620,63,21,8,2472,9.4,1321,79.3,2.96,39,32,11,2737,243,0.609756098
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,2.83,394,626,68,21.5,6,2589,9,1362,83,2.71,41,35,6,2346,222,0.573170732
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,2.82,414,645,55,17.6,4,2588,8.9,918,86.6,2.45,45,27,10,2573,201,0.670731707
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.82,408,639,64,20.8,4,2389,9.7,979,80.3,2.57,46,27,9,2260,211,0.670731707
,,,,,,,,,,,,,,,,,,
Dallas Stars,82,2.8,396,626,61,18.6,9,2524,9.1,963,77.4,2.98,37,31,14,2559,244,0.62195122
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,2.8,411,641,51,16.1,9,2409,9.5,1053,82.2,3.05,35,34,13,2716,250,0.585365854
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,2.76,388,614,56,16.9,7,2402,9.4,966,80.6,3.06,35,37,10,2574,251,0.548780488
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,2.72,386,609,59,19.2,8,2737,8.1,723,83.9,2.52,44,24,14,2413,207,0.707317073
,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,2.68,379,599,49,16.9,6,2436,9,1141,84.3,2.84,44,32,6,2340,233,0.609756098
,,,,,,,,,,,,,,,,,,
New York Rangers,82,2.67,370,589,55,18.3,5,2425,9,1159,84.3,2.61,38,33,11,2450,214,0.597560976
,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,2.66,376,594,53,17.2,7,2445,8.9,1318,86.8,2.66,40,32,10,2473,218,0.609756098
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,2.65,366,583,47,16.4,5,2508,8.7,710,77.1,2.7,47,29,6,2396,221,0.646341463
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.63,378,594,51,18.7,7,2459,8.8,859,82.8,2.27,48,27,7,2213,186,0.670731707
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.61,367,581,49,16,7,2493,8.6,950,76.3,3.15,34,37,11,2619,258,0.548780488
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,2.61,383,597,56,18.2,6,2338,9.2,1086,81.7,3.04,32,35,15,2514,249,0.573170732
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.61,368,582,59,19.1,4,2266,9.4,924,82.7,2.92,38,36,8,2415,239,0.56097561
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,2.6,373,586,63,19.3,2,2367,9,1377,80.1,3.09,34,36,12,2575,253,0.56097561
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.57,365,576,46,14.7,3,2502,8.4,925,84.5,2.39,50,25,7,2427,196,0.695121951
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.56,356,566,57,21.8,4,2346,9,936,83,2.66,39,33,10,2634,218,0.597560976
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,2.56,368,578,44,14,4,2671,7.9,1091,74.7,3.21,30,38,14,2440,263,0.536585366
,,,,,,,,,,,,,,,,,,
Edmonton Oilers,82,2.51,354,560,52,17.3,6,2321,8.9,1133,78,3.39,27,47,8,2716,278,0.426829268
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.46,351,553,44,14.2,7,2331,8.7,977,79.4,2.85,32,37,13,2800,234,0.548780488
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,2.45,342,543,43,16,8,2350,8.6,1143,82.3,2.48,40,32,10,2372,203,0.609756098
,,,,,,,,,,,,,,,,,,
Boston Bruins,82,2.39,348,544,44,16.6,6,2599,7.5,953,86.4,2.33,39,30,13,2445,191,0.634146341
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,3.15,450,708,72,24.4,6,2624,9.8,943,85.6,2.2,54,19,9,2470,180,0.768292683
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,3.13,456,713,67,22.3,5,2757,9.3,754,82.3,2.89,47,25,10,2514,237,0.695121951
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,3.12,427,683,49,16.6,13,2605,9.8,1119,82.7,2.63,47,23,12,2471,216,0.719512195
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,3.07,437,689,64,23.1,6,2637,9.6,742,79.2,2.68,44,29,9,2354,220,0.646341463
,,,,,,,,,,,,,,,,,,
Boston Bruins,82,2.98,413,657,43,16.2,11,2696,9.1,1115,82.6,2.31,46,25,11,2682,189,0.695121951
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,2.96,426,669,68,23.5,6,2832,8.6,931,79.4,2.54,48,25,9,2369,208,0.695121951
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,2.94,421,662,62,19.4,7,2501,9.6,836,81.2,2.81,41,29,12,2338,230,0.646341463
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,2.94,421,662,69,20.5,1,2605,9.3,905,83.8,2.85,46,25,11,2354,234,0.695121951
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,2.93,413,653,54,19.4,2,2690,8.9,958,83,2.78,43,29,10,2514,228,0.646341463
,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,2.88,393,629,52,18.6,7,2475,9.5,1225,81.7,2.78,38,33,11,2274,228,0.597560976
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,2.87,417,652,67,23.5,7,2334,10.1,1178,81.3,2.84,47,30,5,2648,233,0.634146341
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,2.82,388,619,55,15.9,7,2517,9.2,835,81.3,2.85,40,31,11,2725,234,0.62195122
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,2.78,390,618,49,15.8,13,2582,8.8,1388,86.1,2.39,49,25,8,2352,196,0.695121951
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.76,383,609,46,15.9,5,2486,9.1,863,78.4,2.68,43,26,13,2673,220,0.682926829
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.74,376,601,52,17.2,15,2408,9.3,1515,83.2,3.15,30,39,13,2620,258,0.524390244
,,,,,,,,,,,,,,,,,,
New York Rangers,82,2.73,384,608,49,16.9,11,2453,9.1,1074,83.7,2.38,44,33,5,2410,195,0.597560976
,,,,,,,,,,,,,,,,,,
Dallas Stars,82,2.71,375,597,55,18,10,2269,9.8,1066,80.1,2.76,42,29,11,2504,226,0.646341463
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,2.7,376,597,49,18.5,8,2394,9.2,1077,76.1,3.5,30,44,8,2609,287,0.463414634
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,2.67,370,589,46,17.5,7,2566,8.5,926,85.6,2.33,48,23,11,2375,191,0.719512195
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,2.66,358,576,53,18.3,6,2581,8.4,930,77.5,3.2,34,36,12,2638,262,0.56097561
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.6,365,578,57,19.7,5,2602,8.2,1097,84.4,2.51,44,30,8,2538,206,0.634146341
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,2.6,359,572,52,16,5,2360,9,985,77.5,2.99,37,34,11,2540,245,0.585365854
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,2.6,370,583,41,15.2,5,2362,9,720,85,2.32,44,27,11,2510,190,0.670731707
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,2.56,375,585,42,14,6,2506,8.4,1113,80.3,3.05,34,35,13,2447,250,0.573170732
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.55,370,579,47,16.2,4,2363,8.8,962,85.5,2.39,46,30,6,2288,196,0.634146341
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.48,357,560,53,18.2,7,2148,9.5,983,82.8,2.78,39,35,8,2625,228,0.573170732
,,,,,,,,,,,,,,,,,,
Edmonton Oilers,82,2.33,337,528,44,14.5,8,2188,8.7,1270,76.9,3.17,25,45,12,2597,260,0.451219512
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.33,336,527,35,13.1,4,2493,7.7,716,84.6,2.71,30,40,12,2609,222,0.512195122
,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,2.32,312,502,45,17.5,6,2381,8,1149,83.7,2.99,32,40,10,2559,245,0.512195122
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.09,288,459,34,14.4,3,2344,7.3,765,83.4,2.52,38,39,5,2152,207,0.524390244
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,3.33,473,746,57,19.7,11,2779,9.8,880,87.7,2.66,51,25,6,2247,218,0.695121951
,,,,,,,,,,,,,,,,,,
Boston Bruins,82,3.17,426,686,43,17.1,8,2653,9.8,1103,83.5,2.43,49,29,4,2441,199,0.646341463
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,3.17,450,710,66,19.7,6,2641,9.8,1318,81.8,2.74,47,26,9,2329,225,0.682926829
,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,2.96,416,659,49,18.1,9,2574,9.4,1145,81.6,2.88,41,31,10,2627,236,0.62195122
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,2.94,420,661,42,15.2,7,2583,9.3,848,78.1,2.82,45,26,11,2343,231,0.682926829
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,2.94,426,667,57,19.8,7,2583,9.3,1049,86,2.33,51,22,9,2526,191,0.731707317
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,2.91,424,663,48,16.1,2,2638,9.1,699,81.8,2.44,48,28,6,2212,200,0.658536585
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,2.83,392,624,41,15.2,2,2227,10.4,865,79.3,3.39,38,36,8,2501,278,0.56097561
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,2.83,407,639,54,21.6,5,2261,10.3,689,83.6,2.5,48,26,8,2523,205,0.682926829
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,2.77,393,620,49,18.4,5,2322,9.8,824,77.3,3.16,35,37,10,2528,259,0.548780488
,,,,,,,,,,,,,,,,,,
New York Rangers,82,2.71,387,609,44,15.7,8,2338,9.5,1059,86.2,2.22,51,24,7,2281,182,0.707317073
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,2.7,382,603,45,18,3,2471,8.9,905,80.1,2.95,37,35,10,2470,242,0.573170732
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,2.67,391,610,57,21.1,3,2773,7.9,785,76.9,2.5,43,29,10,2342,205,0.646341463
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,2.66,364,582,41,16.7,3,2295,9.5,767,81.6,2.76,42,32,8,2475,226,0.609756098
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.63,373,589,46,17.2,15,2253,9.6,944,89.6,2.5,48,28,6,2199,205,0.658536585
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,2.59,334,546,49,16.7,12,2497,8.5,763,80.5,2.89,33,33,16,2653,237,0.597560976
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,2.57,363,574,44,17.1,5,2397,8.8,904,81.7,2.72,39,32,11,2571,223,0.609756098
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.56,370,580,34,13.5,6,2429,8.6,757,85.5,2.37,42,27,13,2593,194,0.670731707
,,,,,,,,,,,,,,,,,,
