TEAM,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,GA/G,W,L,OTL,SA,GA,PTS%
Edmonton Oilers,82,2.52,358,565,54,20.6,5,2186,9.5,942,82.4,2.83,32,40,10,2518,232,0.512195122
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.52,346,553,43,14.3,10,2340,8.8,954,88.6,2.61,31,35,16,2432,214,0.573170732
,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,2.51,348,554,45,16.7,7,2512,8.2,1062,85.8,1.89,49,22,11,2190,155,0.731707317
,,,,,,,,,,,,,,,,,,
Dallas Stars,82,2.49,367,571,33,13.5,5,2315,8.8,1032,82.8,2.66,42,35,5,2527,218,0.573170732
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,2.45,344,545,45,16.6,4,2291,8.8,980,82,2.73,34,36,12,2367,224,0.56097561
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,2.43,331,530,46,17.7,3,2258,8.8,885,84.3,2.65,37,29,16,2528,217,0.646341463
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,2.43,342,541,41,18.4,5,2583,7.7,902,83,2.66,41,35,6,2426,218,0.573170732
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,2.41,339,537,49,15.5,7,2454,8.1,1037,76.6,3.13,29,46,7,2537,257,0.43902439
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.4,339,536,53,18.6,4,2433,8.1,792,79.5,2.63,38,26,18,2505,216,0.682926829
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.39,348,544,45,18.5,4,2410,8.1,763,80.5,3.06,34,37,11,2469,251,0.548780488
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.29,328,516,49,16.9,9,2509,7.5,923,87,2.07,40,27,15,2248,170,0.670731707
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.02,283,449,39,15.1,5,2174,7.6,994,82.1,2.65,35,36,11,2571,217,0.56097561
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,48,3.38,283,445,42,24.7,2,1438,11.3,563,79.6,2.48,36,12,0,1403,119,0.43902439
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,48,3.1,248,397,25,16.6,5,1494,10,444,87.2,2.02,36,7,5,1258,97,0.5
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,48,3.06,269,416,31,19,0,1323,11.1,577,80.6,3.06,18,26,4,1451,147,0.268292683
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,48,3.04,260,406,42,20.7,0,1468,9.9,636,79.8,2.58,29,14,5,1293,124,0.414634146
,,,,,,,,,,,,,,,,,,
Washington Capitals,48,3.04,258,404,44,26.8,3,1350,10.8,516,77.9,2.71,27,18,3,1551,130,0.365853659
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,48,3.02,249,394,31,18.7,1,1264,11.5,776,87.9,2.67,26,17,5,1549,128,0.37804878
,,,,,,,,,,,,,,,,,,
New York Islanders,48,2.81,234,369,31,19.9,2,1485,9.1,471,80.3,2.83,24,17,7,1352,136,0.37804878
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,48,2.79,237,371,29,21.5,5,1347,9.9,535,81.5,2.4,30,12,6,1340,115,0.43902439
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,48,2.75,223,355,37,21.6,2,1394,9.5,755,85.9,2.9,23,22,3,1371,139,0.317073171
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,48,2.73,228,359,33,19.9,2,1431,9.2,481,83.2,2.38,27,16,5,1198,114,0.390243902
,,,,,,,,,,,,,,,,,,
Calgary Flames,48,2.67,225,353,31,20,6,1293,9.9,518,81.5,3.27,19,25,4,1412,157,0.280487805
,,,,,,,,,,,,,,,,,,
Dallas Stars,48,2.67,226,354,29,17,2,1261,10.2,623,81,2.94,22,22,4,1489,141,0.317073171
,,,,,,,,,,,,,,,,,,
Boston Bruins,48,2.65,219,346,18,14.8,5,1557,8.2,584,87.1,2.21,28,14,6,1373,106,0.414634146
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,48,2.65,214,341,24,14.5,3,1545,8.2,538,77.6,3.31,19,25,4,1546,159,0.280487805
,,,,,,,,,,,,,,,,,,
New York Rangers,48,2.63,205,331,24,15.7,5,1483,8.5,444,81.1,2.25,26,18,4,1353,108,0.365853659
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,48,2.63,215,341,20,13.8,1,1389,9.1,535,79.7,2.94,24,21,3,1424,141,0.329268293
,,,,,,,,,,,,,,,,,,
St. Louis Blues,48,2.58,221,345,29,19.5,3,1336,9.3,541,84.7,2.38,29,17,2,1161,114,0.37804878
,,,,,,,,,,,,,,,,,,
Edmonton Oilers,48,2.56,220,343,34,20.1,4,1285,9.6,522,83.4,2.73,19,22,7,1572,131,0.317073171
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,48,2.54,213,335,34,18.4,3,1447,8.4,469,81.7,2.29,24,16,8,1322,110,0.390243902
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,48,2.54,204,326,26,15.8,2,1350,9,609,84,2.4,26,15,7,1389,115,0.402439024
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,48,2.52,211,332,25,14.8,2,1482,8.2,504,79.9,2.6,21,18,9,1467,125,0.365853659
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,48,2.46,203,321,23,14.1,7,1339,8.8,630,79.2,2.9,21,21,6,1606,139,0.329268293
,,,,,,,,,,,,,,,,,,
Minnesota Wild,48,2.46,208,326,27,17.9,1,1382,8.5,545,80.7,2.6,26,19,3,1299,125,0.353658537
,,,,,,,,,,,,,,,,,,
San Jose Sharks,48,2.42,195,311,34,20.1,3,1526,7.6,521,85,2.33,25,16,7,1390,112,0.390243902
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,48,2.4,201,316,22,14.2,3,1283,9,605,82.6,2.4,24,17,7,1436,115,0.37804878
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,48,2.38,197,311,21,15,3,1415,8.1,598,80.3,3.13,16,25,7,1508,150,0.280487805
,,,,,,,,,,,,,,,,,,
Ottawa Senators,48,2.33,198,310,25,15.9,2,1591,7,655,88,2.08,25,17,6,1502,100,0.37804878
,,,,,,,,,,,,,,,,,,
New Jersey Devils,48,2.29,176,286,28,15.9,11,1362,8.1,519,81.1,2.54,19,19,10,1110,122,0.353658537
,,,,,,,,,,,,,,,,,,
Florida Panthers,48,2.27,172,281,29,20.4,4,1400,7.8,541,74.2,3.54,15,27,6,1504,170,0.256097561
,,,,,,,,,,,,,,,,,,
Nashville Predators,48,2.27,191,300,24,17.1,1,1244,8.8,471,75.7,2.77,16,23,9,1335,133,0.304878049
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,3.21,449,712,44,16,10,2569,10.2,894,82.2,2.48,54,20,8,2353,203,0.756097561
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,3.18,453,714,50,19.5,9,2715,9.6,699,81.5,2.59,46,21,15,2229,212,0.743902439
,,,,,,,,,,,,,,,,,,
Boston Bruins,82,3.15,442,700,50,21.7,9,2613,9.9,886,83.7,2.09,54,19,9,2385,171,0.768292683
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,2.99,435,680,50,19.8,3,2420,10.1,891,80.7,2.63,52,22,8,2678,216,0.731707317
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,2.95,424,666,65,23.4,4,2454,9.9,832,85,2.49,51,24,7,2359,204,0.707317073
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,2.91,425,664,50,17.2,8,2851,8.4,737,84.9,2.35,51,22,9,2281,193,0.731707317
,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,2.91,420,659,56,19.8,6,2402,10,1162,85.7,2.29,52,23,7,2163,188,0.719512195
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,2.84,402,635,58,19.8,8,2490,9.4,1180,84.8,2.77,42,30,10,2508,227,0.634146341
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,2.83,406,638,50,18.5,10,2446,9.5,844,80.7,2.55,46,27,9,2405,209,0.670731707
,,,,,,,,,,,,,,,,,,
Dallas Stars,82,2.82,395,626,46,15.9,8,2597,8.9,900,81.4,2.71,40,31,11,2492,222,0.62195122
,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,2.79,382,611,50,18.5,5,2692,8.5,1094,80.9,3.15,37,31,14,2849,258,0.62195122
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,2.76,382,608,54,19.3,9,2431,9.3,910,82.1,2.61,43,32,7,2524,214,0.609756098
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,2.74,401,626,68,23.4,5,2412,9.3,960,82,2.79,38,30,14,2750,229,0.634146341
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,2.71,358,580,50,19.8,7,2290,9.7,1040,78.3,3.07,38,36,8,2945,252,0.56097561
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,2.67,375,594,40,15.4,5,2516,8.7,973,83.2,2.82,37,35,10,2472,231,0.573170732
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,2.65,362,579,50,17.7,3,2464,8.8,725,83.1,2.7,39,28,15,2401,221,0.658536585
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.63,370,586,49,17.8,8,2537,8.5,1015,78.1,3.18,34,37,11,2464,261,0.548780488
,,,,,,,,,,,,,,,,,,
New York Rangers,82,2.61,364,578,48,18.2,10,2719,7.9,817,85.3,2.32,45,31,6,2412,190,0.62195122
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,2.61,373,587,46,19.2,2,2382,9,808,80.3,2.84,38,32,12,2370,233,0.609756098
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.56,376,586,56,19.9,3,2499,8.4,810,79,2.73,37,30,15,2541,224,0.634146341
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.55,349,558,48,17.2,6,2330,9,1063,85.1,2.45,46,28,8,2541,201,0.658536585
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,2.5,331,536,41,14.6,11,2561,8,650,81.7,2.76,36,35,11,2537,226,0.573170732
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,2.46,355,557,39,15.7,12,2199,9.2,858,81.7,2.9,35,40,7,2345,238,0.512195122
,,,,,,,,,,,,,,,,,,
Edmonton Oilers,82,2.43,348,547,46,17,4,2208,9,966,82.1,3.26,29,44,9,2696,267,0.463414634
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.43,360,559,45,17.9,4,2180,9.1,783,78.8,2.42,43,27,12,2273,198,0.670731707
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.41,339,537,43,15.1,5,2595,7.6,876,83.1,2.05,46,28,8,2149,168,0.658536585
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.4,344,541,47,19.5,9,2199,9,656,86.4,2.38,35,29,18,2089,195,0.646341463
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,2.33,322,513,39,15.2,6,2527,7.6,1115,83.2,2.63,36,35,11,2327,216,0.573170732
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.29,302,490,27,10,8,2451,7.7,848,76,3.2,29,45,8,2551,262,0.451219512
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,1.83,252,402,36,14.1,5,2156,7,903,81.4,2.96,21,51,10,2816,243,0.37804878
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,3.16,445,704,53,18.8,7,2428,10.7,812,83.7,2.51,50,24,8,2287,206,0.707317073
,,,,,,,,,,,,,,,,,,
Dallas Stars,82,3.13,440,697,55,19,9,2558,10,789,80.7,3.13,41,31,10,2454,257,0.62195122
,,,,,,,,,,,,,,,,,,
New York Rangers,82,3.02,411,659,39,16.8,9,2582,9.6,712,84.3,2.28,53,22,7,2418,187,0.731707317
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.99,411,656,50,18.7,10,2771,8.8,700,78,2.73,47,28,7,2321,224,0.658536585
,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,2.91,421,660,56,22.3,2,2535,9.4,904,83.7,2.4,51,24,7,2233,197,0.707317073
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,2.89,427,664,48,18.8,6,2252,10.5,626,80.6,2.6,45,30,7,2391,213,0.634146341
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,2.89,415,652,60,25.3,4,2419,9.8,857,81.2,2.43,45,26,11,2368,199,0.682926829
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,2.88,406,642,46,19.3,6,2453,9.6,892,85.7,2.68,48,29,5,2446,220,0.646341463
,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,2.83,387,619,47,16.8,6,2539,9.1,841,82.9,2.54,43,26,13,2635,208,0.682926829
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,2.82,399,630,70,23.8,3,2429,9.5,724,80.9,2.57,43,25,14,2322,211,0.695121951
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,2.78,385,613,37,15.7,9,2458,9.3,887,81,2.7,51,24,7,2367,221,0.707317073
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,2.77,397,624,53,21.7,5,2366,9.6,978,80.2,3.02,42,35,5,2742,248,0.573170732
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.77,381,608,39,15.9,4,2522,9,728,86.3,2.42,46,28,8,2265,198,0.658536585
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,2.76,385,611,42,16.2,4,2614,8.6,693,80.8,2.46,47,25,10,2317,202,0.695121951
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,2.73,401,625,55,21.7,4,2591,8.6,760,78.5,2.76,40,33,9,2436,226,0.597560976
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,2.72,371,594,48,17.8,10,2439,9.1,1068,81.8,2.49,43,26,13,2350,204,0.682926829
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,2.68,381,601,46,17.6,3,2777,7.9,596,83.4,2.27,48,28,6,2477,186,0.658536585
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.66,379,597,47,19,7,2536,8.6,744,80.9,2.4,40,27,15,2214,197,0.670731707
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,2.65,383,600,49,19.3,6,2594,8.4,1123,84.8,2.49,43,27,12,2401,204,0.670731707
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.61,365,579,40,16.5,7,2334,9.2,833,83.7,2.24,50,22,10,2470,184,0.731707317
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,2.59,384,596,60,23.4,3,2413,8.8,833,77.1,2.72,33,31,18,2481,223,0.62195122
,,,,,,,,,,,,,,,,,,
Boston Bruins,82,2.55,358,567,38,17.8,8,2546,8.2,778,82,2.45,41,27,14,2449,201,0.670731707
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,2.55,362,571,37,15,4,2286,9.1,771,84.6,2.72,39,31,12,2719,223,0.62195122
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,2.51,338,544,45,15.9,7,2397,8.6,823,80.5,3.13,30,44,8,2748,257,0.463414634
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.41,343,541,40,16.3,1,2516,7.9,733,80,2.6,38,29,15,2424,213,0.646341463
,,,,,,,,,,,,,,,,,,
Edmonton Oilers,82,2.35,324,517,41,17.7,4,2331,8.3,677,76.7,3.37,24,44,14,2464,276,0.463414634
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,2.23,327,510,45,18.8,2,2524,7.3,549,84.7,2.67,30,41,11,2236,219,0.5
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.15,309,485,41,19.3,7,2008,8.8,760,80.6,2.55,32,36,14,2518,209,0.56097561
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.01,289,454,46,20,4,2393,6.9,776,76.7,3.26,24,50,8,2722,267,0.390243902
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,1.87,268,421,30,13.4,7,1984,7.7,853,75.1,3.28,23,51,8,2920,269,0.37804878
,,,,,,,,,,,,,,,,,,
Dallas Stars,82,3.23,433,698,58,22.1,10,2624,10.1,719,82.3,2.78,50,23,9,2371,228,0.719512195
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,3.02,422,670,55,21.9,2,2510,9.9,753,85.1,2.33,56,18,8,2332,191,0.780487805
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,2.94,409,650,48,18.4,11,2722,8.9,693,84.4,2.43,48,26,8,2436,199,0.682926829
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,2.89,408,645,62,22.5,6,2491,9.5,727,80.5,2.52,46,30,6,2245,207,0.634146341
,,,,,,,,,,,,,,,,,,
Boston Bruins,82,2.88,399,635,48,20.5,9,2620,9,933,82.2,2.78,42,31,9,2490,228,0.62195122
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,2.85,400,634,57,22.6,10,2498,9.4,611,80.3,2.52,47,26,9,2526,207,0.682926829
,,,,,,,,,,,,,,,,,,
New York Rangers,82,2.84,383,616,42,18.6,3,2336,10,704,78.2,2.62,46,27,9,2494,215,0.670731707
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.83,381,613,47,16.9,5,2358,9.8,849,79.5,2.44,47,26,9,2419,200,0.682926829
,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,2.8,362,592,38,15.9,17,2325,9.9,892,75.8,2.94,38,35,9,2688,241,0.573170732
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,2.79,407,636,46,17,10,2398,9.6,754,75.6,3.13,35,40,7,2377,257,0.512195122
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.77,377,604,42,18.3,7,2412,9.4,718,84.5,2.57,45,27,10,2495,211,0.670731707
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,2.73,361,585,44,15.8,7,2402,9.3,809,84,2.42,46,31,5,2366,198,0.62195122
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,2.73,370,594,51,19.7,7,2507,8.9,810,81.2,2.6,41,27,14,2242,213,0.670731707
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.72,377,600,47,20,5,2625,8.5,866,81.4,2.34,48,28,6,2254,192,0.658536585
,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,2.67,370,589,51,21.5,4,2474,8.9,861,85.1,2.4,49,24,9,2439,197,0.707317073
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.63,377,593,42,16.2,8,2504,8.6,774,81.9,2.84,38,38,6,2408,233,0.536585366
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,2.62,362,577,56,23,7,2483,8.7,1023,87.2,2.29,46,25,11,2258,188,0.695121951
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,2.6,357,570,43,17.3,3,2387,8.9,995,81,3.02,34,40,8,2550,248,0.512195122
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.6,356,569,48,18.5,7,2374,9,545,77.9,2.49,38,33,11,2347,204,0.597560976
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,2.59,371,583,48,18,7,2348,9,774,80.2,2.93,39,39,4,2649,240,0.524390244
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,2.59,352,564,38,14.8,10,2427,8.7,920,78.4,2.88,35,39,8,2423,236,0.524390244
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,2.57,370,581,53,18.9,3,2540,8.3,966,80.5,2.56,41,27,14,2519,210,0.670731707
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,2.55,349,558,50,18.8,2,2432,8.6,724,81.6,2.67,41,30,11,2439,219,0.634146341
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.54,345,553,53,17.7,4,2265,9.2,1009,77.3,2.98,35,39,8,2539,244,0.524390244
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,2.43,322,521,48,18.9,6,2418,8.2,749,82.6,2.62,35,36,11,2511,215,0.56097561
,,,,,,,,,,,,,,,,,,
Edmonton Oilers,82,2.43,343,542,43,18.1,5,2386,8.3,794,81.1,2.95,31,43,8,2548,242,0.475609756
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,2.39,328,524,40,16.8,3,2451,8,562,84.3,2.7,35,31,16,2261,221,0.62195122
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,2.34,339,531,40,15.4,3,2515,7.6,756,81.6,2.93,29,42,11,2503,240,0.487804878
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,2.27,316,502,39,15.8,4,2311,8,821,81.1,2.92,31,38,13,2668,239,0.536585366
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.22,297,479,51,19.9,5,2003,9.1,814,83,2.46,38,36,8,2349,202,0.56097561
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,3.39,475,753,60,23.1,5,2756,10.1,703,79.8,2.79,50,21,11,2671,229,0.743902439
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,3.21,446,709,47,21,5,2527,10.4,669,82.9,2.51,49,25,8,2465,206,0.695121951
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,3.18,453,714,57,23.1,5,2495,10.5,750,83.8,2.16,55,19,8,2282,177,0.768292683
,,,,,,,,,,,,,,,,,,
New York Rangers,82,3.09,428,681,47,20.3,9,2438,10.4,593,79.8,2.63,48,28,6,2476,216,0.658536585
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,3.05,411,661,58,23.8,6,2617,9.6,799,82.5,2.85,40,27,15,2673,234,0.670731707
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,3.01,400,647,42,19.9,10,2540,9.7,714,82.5,2.35,50,24,8,2489,193,0.707317073
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,3,417,663,48,18.2,10,2448,10,835,77.5,3.11,40,35,7,2546,255,0.573170732
,,,,,,,,,,,,,,,,,,
Edmonton Oilers,82,2.96,400,643,56,22.9,4,2547,9.5,738,80.7,2.52,47,26,9,2416,207,0.682926829
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,2.93,407,647,42,18,1,2508,9.6,584,77.7,2.59,50,23,9,2574,212,0.719512195
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.91,389,628,35,15,5,2480,9.6,648,81.9,2.9,41,29,12,2616,238,0.646341463
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,2.9,387,625,49,18.9,12,2557,9.3,833,80.9,2.68,41,29,12,2472,220,0.646341463
,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,2.84,394,627,50,21.3,3,2330,10,734,84.8,2.63,46,29,7,2327,216,0.646341463
,,,,,,,,,,,,,,,,,,
Boston Bruins,82,2.83,366,598,53,21.7,10,2721,8.5,831,85.7,2.55,44,31,7,2194,209,0.62195122
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,2.8,395,625,62,22.8,4,2452,9.4,875,81.4,2.73,42,30,10,2492,224,0.634146341
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.72,378,601,45,19.7,5,2459,9.1,759,81.1,2.42,47,26,9,2429,198,0.682926829
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,2.71,396,618,52,20.2,8,2388,9.3,956,81.6,2.67,45,33,4,2354,219,0.597560976
,,,,,,,,,,,,,,,,,,
Dallas Stars,82,2.71,374,596,46,17.9,5,2505,8.9,810,73.9,3.17,34,37,11,2439,260,0.548780488
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,2.68,364,584,47,18.7,9,2425,9.1,934,84.7,2.4,46,23,13,2429,197,0.719512195
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,2.67,382,601,41,16.7,7,2453,8.9,642,80.7,2.44,46,29,7,2269,200,0.646341463
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,2.59,363,575,41,17.7,10,2493,8.5,476,84.2,2.81,36,31,15,2320,230,0.62195122
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,2.59,358,570,54,19.5,4,2585,8.2,844,79.8,2.82,39,33,10,2334,231,0.597560976
,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,2.51,346,552,43,17,7,2463,8.4,848,79.7,2.56,44,28,10,2467,210,0.658536585
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.5,346,551,45,17,8,2644,7.8,813,85.3,2.82,35,36,11,2595,231,0.56097561
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,2.43,332,531,57,24.5,3,2491,8,741,77.6,2.82,33,37,12,2813,231,0.548780488
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.43,341,540,46,19.1,5,2553,7.8,754,84.5,2.45,39,35,8,2120,201,0.573170732
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,2.41,334,532,38,15.1,3,2335,8.5,718,80.9,2.98,33,36,13,2507,244,0.56097561
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.33,324,515,38,16.2,8,2281,8.4,809,77.3,3.15,30,42,10,2797,258,0.487804878
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.2,298,478,44,17.5,6,2279,7.9,817,79.6,2.94,28,40,14,2572,241,0.512195122
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,2.17,292,470,32,14.1,2,2273,7.8,648,76.7,2.94,30,43,9,2605,241,0.475609756
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,2.01,278,443,30,12.6,5,2303,7.2,767,76.6,3.37,22,56,4,2603,276,0.317073171
